State,1969-70,1979-80,1989-90,1994-95,1995-96,1996-97,1997-98
United States,8626,15970,31367,36685,37716,38554,39385
Alabama,6818,13060,24828,31144,31313,32549,32818
Alaska,10560,27210,43153,47951,49171,50647,51738
Arizona,8711,15054,29402,32574,33300,33300,33850
Arkansas,6307,12299,22352,28934,29533,30319,30578
California,10315,18020,37998,41078,42259,42992,43725
Colorado,7761,16205,30758,34571,35364,36271,37052
Connecticut,9262,16229,40461,50045,50254,50426,50730
Delaware,9015,16148,33377,39076,40533,41436,42439
District of Columbia,10285,22190,38402,43700,43700,45012,46350
Florida,8412,14149,28803,32588,33330,33889,34475
Georgia,7276,13853,28006,32291,34002,35596,37378
Hawaii,9453,19920,32047,38518,35807,35842,38377
Idaho,6890,13611,23861,29783,30891,31818,32775
Illinois,9569,17601,32794,39431,40919,42125,43873
Indiana,8833,15599,30902,36785,37675,38845,39682
Iowa,8355,15203,26747,31511,32372,33272,34040
Kansas,7612,13690,28744,34652,35023,35739,36811
Kentucky,6953,14520,26292,32257,33080,33797,34525
Louisiana,7028,13760,24300,26461,27530,29025,29650
Maine,7572,13071,26881,31972,32869,33676,34349
Maryland,9383,17558,36319,40661,41160,41148,41739
Massachusetts,8764,17253,34712,40718,41408,42650,43930
Michigan,9826,19663,37072,41895,46832,48238,49277
Minnesota,8658,15912,32190,35948,36937,38281,39106
Mississippi,5798,11850,24292,26818,27692,27720,29547
Missouri,7799,13682,27094,31189,32322,33155,33975
Montana,7606,14537,25081,28785,29364,29958,30617
Nebraska,7375,13516,25522,30922,31496,31768,32668
Nevada,9215,16295,30590,34836,36167,37340,37093
New Hampshire,7771,13017,28986,34720,35792,36029,36640
New Jersey,9130,17161,35676,47038,48751,49786,50442
New Mexico,7796,14887,24756,28493,29074,30131,30152
New York,10336,19812,38925,47612,48115,48000,49034
North Carolina,7494,14117,27883,30793,30411,31167,33315
North Dakota,6696,13263,23016,26327,26969,27711,28230
Ohio,8300,15269,31218,36802,37835,38676,38977
Oklahoma,6882,13107,23070,28172,28404,30369,30606
Oregon,8818,16266,30840,38555,39706,40960,42150
Pennsylvania,8858,16515,33338,44510,46087,47147,47650
Rhode Island,8776,18002,36057,40729,41765,43019,44300
South Carolina,6927,13063,27217,30279,31622,32830,33608
South Dakota,6403,12348,21300,25994,26346,26764,27341
Tennessee,7050,13972,27052,32477,33126,34222,35340
Texas,7255,14132,27496,31223,32000,33038,33648
Utah,7644,14909,23686,29082,30588,31867,32950
Vermont,7968,12484,29012,35406,36295,36053,36299
Virginia,8070,14060,30938,33987,34792,35691,36654
Washington,9225,18820,30457,36151,37853,37815,38788
West Virginia,7650,13710,22842,31944,32155,33257,33398
Wisconsin,8963,16006,31921,37746,38182,39057,39899
Wyoming,8232,16012,28141,31285,31571,31715,32022
